userName,score,at,content
Aji Wiguna,5,2024-06-04 20:13:08,Alhamdulilah setelah banyak apk pinjam uang .baru kredivo yang bisa membantu masalah keuangan saya...daftar dan isi data sangat mudah pencairan cepat tidak ada 2 menit .pokoknya terbaik kredivo.
Erlina Damayanti,3,2024-06-04 19:33:47,kak pertama saya nyaman banget pake kredivo untuk beli paketan kuota tapi kenapa ya saya mau bayar tagihannya malah data server tidak stabil terus mohon bantuannya
Rifa Rizqiyah,1,2024-06-04 18:48:34,"Pendaftaran kredivo ribet yg mau disetujui,saya sudah daftar 3bln yg lalu belum disetujui,dan disuruh coba masuk lagi tgl 4juni, sekarang kn tgl 4juni,sudah kocoba ehhh tetep aja belum jodoh katanya Ribettttttt bangetttp"
Jamal Martawijaya,2,2024-06-04 18:36:17,"Aneh bayar gak pernah telat tau"" akun di tangguhkan, alasan ada transaksi yang gak sasuai, suruh lunasin dulu semua hadeuh, intinya kan bayar bener kan kaga nunggang, bingungkan gmna mau percaya lagi klo gini"
dede atuy aditya,5,2024-06-04 18:15:35,"Alhmdllah. Baru daftar langsung cair, pinjaman nya. Mkch kredivo. Muach muach mmmmmuuuaaach. Masih setia dgn kredivo, sampe sekarang, cuma tolong dong naikin limit nya yg lebih besar, tanpa syarat 🙏🙏🙏"
Yuningsih Yunie,4,2024-06-04 17:14:36,Cicilan gak ada telat selalu sebelum jatuh tempo tapi kenapa kredi score C Tidak bisa pakai pinjam hanya untuk pulsa & data saja. Gimana itu??
Egi Sugianto,5,2024-06-04 16:09:56,"Alhamduliah dengan adanya kredivo ,kebutuhan pulsa & token dll ,,,bisa kebantu ,,,enaknya lagi pake kredivo hargnya sangat muarah sekali,,,, Trimaksih kredivooo,, pokonya kredivoo toppppp..."
WAWAN Lorianto,1,2024-06-04 16:04:19,Aplikasi yang sangat tidak rekomendasi untuk di install/di gunakan baru bikin akun kirim data langsung di ditolak suruh kembali lagi 3 bulan aplikasi kuprettttt
depotMaju Jaya,1,2024-06-04 16:00:33,"Di bayar malah gak bisa di pakai transaksi.. itu limit buat apa coba . Bintang 1 aja. Bikin malu orang aja, buat bayar gak bisa."
"saifuddin siroj, drs h",5,2024-06-04 15:59:07,"Pelayanan bagus cepat responsif dan mudah, humanis, top. Boleh banget digunakan untuk hal-hal darurat...sangat membantu."
Eullih Gp,3,2024-06-04 14:40:22,"sangat disayangkan untuk top up e-wallet knpa jdi gak ad top up dana min, awalnya bsa skrng jdi 2filtur pilihan hnya bisa gopay, dan ovo aj."
Taufik Darmawan,5,2024-06-04 13:30:32,"Membantu dengan kebutuhan yang sifatnya dadakan dan bisa menjadi paylater di e commerse , siiiplah Rekomended Apalagi dg program cicilan bisa lebih memudahkan utk pelunasan tagihan Sukses selalu Kredivo !!"
Mawan Chexo,1,2024-06-04 11:18:38,"Sebelumnya saya sangat puas menggunakan aplikasi ini, tapi mulai hari ini saya sangat kecewa, tagihan saya masih lama bahkan saya tidak pernah telat bayar untuk bayar tagihan, tapi mengapa akun saya di tangguhkan?? Dan suruh melunasi pinjaman cicilan, padahal jatoh tempo nya masih 1bulan lagi, serius gua kecewa banget, rusak nih aplikasi!!!!!!"
